date,field,company,ticker,stock_code,recommendation,weighted_signal,as_of_date,signal_source,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,market_signal,market_weighted_signal,market_recommendation,market_weight,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight
2025-09,반도체,이엔에프테크놀로지,102710,102710,매도,0.0879,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5762,0.096033,보유,0.166667,0.28,0.046667,보유,0.166667,0.0743,0.012383,보유,0.166667,0.0164,0.002733,매도,0.166667,0.5556,0.0926,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,유진테크,084370,084370,매도,0.1481,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6612,0.1102,보유,0.166667,0.3661,0.061017,매수,0.166667,0.2334,0.0389,보유,0.166667,-0.2638,-0.043967,매도,0.166667,0.8667,0.14445,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,가온칩스,399720,399720,매도,0.0456,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5262,0.0877,보유,0.166667,0.2695,0.044917,보유,0.166667,0.3109,0.051817,보유,0.166667,-0.3582,-0.0597,보유,0.166667,0.5,0.083333,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,GST,083450,083450,보유,0.175,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6867,0.11445,보유,0.166667,0.3844,0.064067,보유,0.166667,-0.1682,-0.028033,보유,0.166667,0.4552,0.075867,매수,0.166667,0.6667,0.111117,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,한미반도체,042700,042700,매도,-0.0353,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.625,0.104167,보유,0.166667,0.0099,0.00165,보유,0.166667,0.4989,0.08315,보유,0.166667,-0.5549,-0.092483,매도,0.166667,0.2093,0.034883,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,한솔케미칼,014680,014680,매도,0.0644,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6358,0.105967,보유,0.166667,0.2,0.033333,보유,0.166667,0.5836,0.097267,보유,0.166667,-0.3129,-0.05215,매도,0.166667,0.28,0.046667,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,ISC,095340,095340,매도,0.118,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.625,0.104167,보유,0.166667,0.2,0.033333,보유,0.166667,0.2874,0.0479,보유,0.166667,-0.2224,-0.037067,매도,0.166667,0.7931,0.132183,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,제주반도체,080220,080220,매도,-0.0583,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.3541,0.059017,보유,0.166667,0.3314,0.055233,매수,0.166667,-0.0386,-0.006433,보유,0.166667,-0.1734,-0.0289,매도,0.166667,0.1765,0.029417,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,리노공업,058470,058470,매수,7.510212,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.0,0.0,영업이익률,0.166667,12.0,2.0,보유,0.166667,0.354605,0.059101,보유,0.166667,31.706669,5.284445,WACC,0.166667,0.0,0.0,보유,0.166667,1.0,0.166667,매수,0.166667
2025-09,반도체,엘티씨,170920,170920,매도,0.2431,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.7317,0.12195,보유,0.166667,0.2856,0.0476,보유,0.166667,0.5532,0.0922,보유,0.166667,-0.001,-0.000167,보유,0.166667,0.8889,0.14815,보유,0.166667,-1.0,-0.166667,매도,0.166667
