date,ticker,recommendation,weighted_signal,stock_code,company_dir,field,as_of_date,run_id,signal_source,chair_json_path,auditor_packet_path,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,finance_signal_source,finance_basis,market_signal,market_weighted_signal,market_recommendation,market_weight,market_signal_source,market_basis,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,tech_signal_source,tech_basis,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,valuation_signal_source,valuation_basis,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,issue_signal_source,issue_basis,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight,macro_signal_source,macro_basis
2025-02,이엔에프테크놀로지,보유,,102710,enf_tech,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,티씨케이,보유,,064760,tck,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,월덱스,보유,,101160,woldex,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,ISC,보유,,095340,isc,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,SFA반도체,보유,,036540,sfa_semicon,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,두산테스나,보유,,131970,doosan_tesna,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,리노공업,보유,,058470,leeno,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,네패스,보유,,033640,nepes,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,한미반도체,보유,,042700,hanmi,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,한솔케미칼,보유,,014680,hansol,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,덕산테코피아,보유,,317330,duksan,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,엘티씨,보유,,170920,ltc,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,DB하이텍,보유,,000990,dbhitek,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,미코,보유,,059090,mico,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,LX세미콘,보유,,108320,lxsemicon,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,제주반도체,보유,,080220,jeju_semicon,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-03,어보브반도체,보유,,102120,abov,반도체,2025-03-31,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
