application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020230060555,1020230158419,,공개,공개,금속막 형성용 전구체 화합물 및 이를 이용한 금속막,주식회사 동진쎄미켐
1020180065105,1020190138535,1026028540000,등록,등록,폴리이미드 조성물 및 이를 이용하여 제조한 자외선 안정성이 우수한 폴리이미드 필름,주식회사 동진쎄미켐
1020100028731,1020110109139,1017006150000,소멸,소멸,"금속 나노입자의 제조방법, 이에 의해 제조된 금속 나노입자 및 이를 포함하는 금속 잉크 조성물",주식회사 동진쎄미켐
1020030026517,1020040092267,1009037670000,소멸,소멸,LCD 흑색 컬러 레지스트용 감광성 수지 조성물,주식회사 동진쎄미켐
1020180138164,1020200055195,1025918060000,등록,등록,"은 함유 박막의 식각 조성물, 이를 이용한 패턴 형성 방법 및 표시장치의 제조 방법",삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020170125278,1020190036262,1025838530000,등록,등록,신규 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020030022006,1020040087562,1006104520000,소멸,소멸,포토레지스트 폴리머 제거용 세정제 조성물,에스케이하이닉스 주식회사|주식회사 동진쎄미켐
1020170156682,1020180058207,1025808960000,등록,등록,중합성 화합물 및 이를 포함하는 액정 조성물,주식회사 동진쎄미켐
1020160065874,1020160140508,1025820930000,등록,등록,2종 이상의 아민을 포함하는 기능화 그래핀 및 그 제조방법,주식회사 동진쎄미켐
1020180037636,1020190114635,1025851550000,등록,등록,신규 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020150190927,1020170079896,1025804550000,등록,등록,"폴리이미드고분자 조성물, 이의 제조 방법 및 이를 이용한 폴리이미드 필름의 제조 방법",주식회사 동진쎄미켐
1020040072921,1020060024478,,취하,취하,포토레지스트 박리액 조성물,주식회사 동진쎄미켐
1020050037022,1020060114849,1007412950000,소멸,소멸,감광성 수지 조성물,주식회사 동진쎄미켐
1020010059748,1020030026666,,거절,거절,감광성 수지 조성물,주식회사 동진쎄미켐
1020010031518,1020020092726,,거절,거절,포지티브 포토레지스트 조성물,주식회사 동진쎄미켐
1020000066127,1020020036117,1004810120000,소멸,소멸,내산성을 지닌 감광성 보호막 조성물,주식회사 동진쎄미켐
1020100113002,1020120051519,,취하,취하,"폴리아진계 중합체, 폴리아진계 중합체를 포함하는 전해질막, 및 전해질막을 포함하는 연료전지",주식회사 동진쎄미켐
1020080013202,1020090087758,,취하,취하,"스파이로락톤 부분을 포함하는 모노머, 폴리머 및 이를포함하는 포토레지스트 조성물",주식회사 동진쎄미켐
1020070033302,1020080090149,1013189520000,소멸,소멸,플라즈마 디스플레이 패널 전극 형성용 감광성 페이스트,주식회사 동진쎄미켐
1020050017756,1020060098582,,취하,취하,코팅성이 우수한 전도성 코팅 조성물 및 이를 이용한 코팅막의 제조방법,주식회사 동진쎄미켐
1020040076011,1020060027158,,취하,취하,유기 반사방지막 형성용 조성물 및 이를 이용한 반도체소자 패턴의 형성방법,주식회사 동진쎄미켐
1019930006484,1019940024023,,거절,거절,발포제조성물,주식회사 동진쎄미켐
1019930006483,1019940023853,,거절,거절,아조디카본아미드의제조방법,주식회사 동진쎄미켐
1019930006485,1019940023865,,거절,거절,옥시비스벤젠설포닐하이드라지드의제조방법,주식회사 동진쎄미켐
1019950014526,1019970002444,,거절,거절,컬러브라운관용감광성조성물,주식회사 동진쎄미켐
