application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020010017150,1020020076923,,거절,거절,반도체 금형 어셈블리의 변형 방지구조,한미반도체 주식회사
1020120085588,1020140019894,1013724590000,소멸,소멸,웨이퍼 검사 장비의 테스트용 시편,한미반도체 주식회사
1020010026420,1020020087296,1003835140000,소멸,소멸,소형반도체 패키지 이송장치,한미반도체 주식회사
1020210037705,1020220132766,1027142820000,등록,등록,스크랩 배출장치,한미반도체 주식회사
1020100106769,1020120045309,,포기,포기,웨이퍼 검사장치 및 이를 구비한 웨이퍼 검사 시스템,한미반도체 주식회사
1020210030811,1020220126478,,거절,거절,반도체 자재 오프로딩 장치,한미반도체 주식회사
1020060007349,1020060087422,1007600010000,등록,등록,반도체 제조 공정용 흡착패드 가공장치 및 가공방법,한미반도체 주식회사
1020190012950,1020200095179,1021437150000,등록,등록,테이핑 시스템 및 테이핑 방법,한미반도체 주식회사
1019970062141,1019990041537,1002591780000,소멸,소멸,반도체 가공장치의 메카니컬식 프레스장치에 상부금형을 고정하는 구조,한미반도체 주식회사
1020070106836,1020090041236,,포기,포기,반도체 패키지 이송장치의 흡착패드,한미반도체 주식회사
1019980005579,1019990070618,1002678790000,소멸,소멸,반도체 가공장치의 비젼시스템,한미반도체 주식회사
1020080004687,1020090078860,,포기,포기,메모리카드 가공장치,한미반도체 주식회사
1020170031360,1020180104800,1020085150000,등록,등록,반도체 제조장치 및 이의 제어방법,한미반도체 주식회사
1020110104133,1020130039520,1012758620000,등록,등록,반도체 제조 시스템 및 이의 제어방법,한미반도체 주식회사
1020100037307,1020110117848,1014543200000,등록,등록,반도체 패키지 제조장치의 스트립 로딩장치,한미반도체 주식회사
1020000079283,1020020049955,1003638510000,소멸,소멸,반도체 패키지 진공 흡착 이송 장치,한미반도체 주식회사
1020090088338,1020110030759,,취하,취하,반도체 패키지 제조용 플럭스 공급장치,한미반도체 주식회사
1019930031492,1019950021445,1001168470000,소멸,소멸,반도체팩키지성형용금형의리이드프레임정위치확인장치와그방법,한미반도체 주식회사
1020000027906,1020010106884,,취하,취하,마이크로비지에이 싱귤레이션 장치,한미반도체 주식회사
1019980064110,1020000047308,,거절,거절,반도체팩키지의싱귤레이션및적재시스템,한미반도체 주식회사
1020060046513,1020070112941,,포기,포기,패키지 가공 장치 및 방법,한미반도체 주식회사
1020070013824,1020080074544,1008806520000,등록,등록,반도체 패키지 처리 장치,한미반도체 주식회사
1020120023145,1020130102156,1013249690000,등록,등록,반도체 패키지 검사장치,한미반도체 주식회사
1019940008542,1019950030287,1001161560000,소멸,소멸,반도체팩키지성형용금형(AMOLDINGDEVICEOFSEMICONDUCTOR-PACKAGE),한미반도체 주식회사
1020080054440,1020090128612,,거절,거절,반도체 제조장비의 비전장치,한미반도체 주식회사
1020060098091,1020080032413,,포기,포기,반도체 제조장치,한미반도체 주식회사
