date,sox_close,sox_adj_close,sox_volume,nasdaq_close,nasdaq_adj_close,nasdaq_volume,sp500_close,sp500_adj_close,sp500_volume,vix_yf_close,vix_yf_adj_close,vix_yf_volume,korea_etf_close,korea_etf_adj_close,korea_etf_volume
2023-05-09,2967.840087890625,2967.840087890625,0,12179.5498046875,12179.5498046875,4126780000,4119.169921875,4119.169921875,3810140000,17.709999084472656,17.709999084472656,0,60.97999954223633,56.76608657836914,3066100
2023-05-10,2997.510009765625,2997.510009765625,0,12306.4404296875,12306.4404296875,4948260000,4137.64013671875,4137.64013671875,4057160000,16.940000534057617,16.940000534057617,0,61.060001373291016,56.84056091308594,3639400
2023-05-11,2978.719970703125,2978.719970703125,0,12328.509765625,12328.509765625,4489490000,4130.6201171875,4130.6201171875,3752900000,16.93000030517578,16.93000030517578,0,60.060001373291016,55.909664154052734,5277800
2023-05-12,2972.85009765625,2972.85009765625,0,12284.740234375,12284.740234375,4170000000,4124.080078125,4124.080078125,3533740000,17.030000686645508,17.030000686645508,0,59.27000045776367,55.17425537109375,2862000
2023-05-15,3052.639892578125,3052.639892578125,0,12365.2099609375,12365.2099609375,3979290000,4136.27978515625,4136.27978515625,3562170000,17.1200008392334,17.1200008392334,0,60.220001220703125,56.0586051940918,3369900
2023-05-16,3048.7099609375,3048.7099609375,0,12343.0498046875,12343.0498046875,4067510000,4109.89990234375,4109.89990234375,3654200000,17.989999771118164,17.989999771118164,0,59.59000015258789,55.47214126586914,2381800
2023-05-17,3124.679931640625,3124.679931640625,0,12500.5703125,12500.5703125,4501820000,4158.77001953125,4158.77001953125,4039080000,16.8700008392334,16.8700008392334,0,60.72999954223633,56.53335952758789,2780600
2023-05-18,3223.489990234375,3223.489990234375,0,12688.83984375,12688.83984375,4532890000,4198.0498046875,4198.0498046875,3980500000,16.049999237060547,16.049999237060547,0,61.20000076293945,56.97088623046875,3852400
2023-05-19,3203.489990234375,3203.489990234375,0,12657.900390625,12657.900390625,3935780000,4191.97998046875,4191.97998046875,4041900000,16.809999465942383,16.809999465942383,0,62.04999923706055,57.76214599609375,3780500
2023-05-22,3215.0400390625,3215.0400390625,0,12720.7802734375,12720.7802734375,4278920000,4192.6298828125,4192.6298828125,3728520000,17.209999084472656,17.209999084472656,0,63.11000061035156,58.748897552490234,2102600
2023-05-23,3177.43994140625,3177.43994140625,0,12560.25,12560.25,4347440000,4145.580078125,4145.580078125,4155320000,18.530000686645508,18.530000686645508,0,62.349998474121094,58.04141616821289,3130800
2023-05-24,3124.090087890625,3124.090087890625,0,12484.16015625,12484.16015625,4088270000,4115.240234375,4115.240234375,0,20.030000686645508,20.030000686645508,0,62.349998474121094,58.04141616821289,2826900
2023-05-25,3336.719970703125,3336.719970703125,0,12698.08984375,12698.08984375,4651640000,4151.27978515625,4151.27978515625,4147760000,19.139999389648438,19.139999389648438,0,62.04999923706055,57.76214599609375,3058400
2023-05-26,3545.669921875,3545.669921875,0,12975.6904296875,12975.6904296875,4434070000,4205.4501953125,4205.4501953125,3715460000,17.950000762939453,17.950000762939453,0,63.099998474121094,58.73958969116211,3131400
2023-05-30,3549.389892578125,3549.389892578125,0,13017.4296875,13017.4296875,4843470000,4205.52001953125,4205.52001953125,4228510000,17.459999084472656,17.459999084472656,0,63.439998626708984,59.05609130859375,3506200
2023-05-31,3453.179931640625,3453.179931640625,0,12935.2900390625,12935.2900390625,5905760000,4179.830078125,4179.830078125,5980670000,17.940000534057617,17.940000534057617,0,62.779998779296875,58.44169998168945,3613600
2023-06-01,3506.739990234375,3506.739990234375,0,13100.98046875,13100.98046875,4610310000,4221.02001953125,4221.02001953125,4391860000,15.649999618530273,15.649999618530273,0,63.7599983215332,59.35397720336914,3279200
