record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020100118902|1015603060000|기판 이송 어셈블리|한미반도체 주식회사,기판 이송 어셈블리,한미반도체 주식회사,1020100118902,,1015603060000,등록,2010,2015,2015,H05K; H10P; B25J; B65G,,기판,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,392
1020160141800|1021086030000|렌즈유닛 분류장치 및 이를 구비하는 렌즈유닛 분류 시스템|한미반도체 주식회사,렌즈유닛 분류장치 및 이를 구비하는 렌즈유닛 분류 시스템,한미반도체 주식회사,1020160141800,1020180046549,1021086030000,등록,2016,2018,2020,B07C; B07B; B65G,,,True,True,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,15
1020190003231|1027042040000|반도체 자재 절단 및 핸들러 장치|한미반도체 주식회사,반도체 자재 절단 및 핸들러 장치,한미반도체 주식회사,1020190003231,1020200086892,1027042040000,등록,2019,2020,2024,H10P,,반도체,True,True,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,40
1020190076906|1022801960000|반도체 제조장치|한미반도체 주식회사,반도체 제조장치,한미반도체 주식회사,1020190076906,1020210002187,1022801960000,등록,2019,2021,2021,H10P,,반도체,True,True,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,47
1020170158756|1020193770000|반도체 자재 절단장치|한미반도체 주식회사,반도체 자재 절단장치,한미반도체 주식회사,1020170158756,,1020193770000,등록,2017,2019,2019,H10P,,반도체,True,True,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,51
1020230162742||본딩장치|한미반도체 주식회사,본딩장치,한미반도체 주식회사,1020230162742,,,공개,2023,,,H10W,,열압착; 기판; 반도체,True,False,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,132
1020230162778||본딩장치|한미반도체 주식회사,본딩장치,한미반도체 주식회사,1020230162778,,,공개,2023,,,H10W,,열압착; 기판; 반도체,True,False,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,136
1020160083279|1018312560000|반도체 스트립 정렬장치 및 반도체 스트립 정렬방법|한미반도체 주식회사,반도체 스트립 정렬장치 및 반도체 스트립 정렬방법,한미반도체 주식회사,1020160083279,,1018312560000,등록,2016,2018,2018,H10P,,반도체,True,True,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,152
1020030021956|1004975050000|반도체 패키지의 싱귤레이션 방법 및 장치|한미반도체 주식회사,반도체 패키지의 싱귤레이션 방법 및 장치,한미반도체 주식회사,1020030021956,,1004975050000,소멸,2003,2005,2005,H10W; H10P; G06T,,공정; 기판; 반도체,True,True,True,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,223
1020200129683|1028737310000|반도체 패키지의 레이저 가공방법|한미반도체 주식회사,반도체 패키지의 레이저 가공방법,한미반도체 주식회사,1020200129683,,1028737310000,등록,2020,2025,2025,H10W,,반도체,True,True,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,249
1020200005785|1028187180000|레이저 본딩 시스템|한미반도체 주식회사,레이저 본딩 시스템,한미반도체 주식회사,1020200005785,,1028187180000,등록,2020,2025,2025,H10P,,반도체,True,True,False,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,430
1020110119691|1016760060000|몰딩장치|한미반도체 주식회사,몰딩장치,한미반도체 주식회사,1020110119691,,1016760060000,소멸,2011,2016,2016,H10P,,패키징; 기판; 반도체; 소자,True,True,True,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,450
1020070083720|1008748520000|반도체 패키지 몰딩장치|한미반도체 주식회사,반도체 패키지 몰딩장치,한미반도체 주식회사,1020070083720,,1008748520000,소멸,2007,2008,2008,H10W,,생산성; 차폐; 공정; 반도체,True,True,True,46.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,457
1020070083036|1014046640000|반도체 패키지 제조장치|한미반도체 주식회사,반도체 패키지 제조장치,한미반도체 주식회사,1020070083036,1020090018539,1014046640000,등록,2007,2009,2014,H10W,,공정; 반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,6
1020080012139|1013912580000|플립퍼링 장치 및 이를 구비하는 쏘잉 앤 플레이스먼트 장비|한미반도체 주식회사,플립퍼링 장치 및 이를 구비하는 쏘잉 앤 플레이스먼트 장비,한미반도체 주식회사,1020080012139,1020090086708,1013912580000,등록,2008,2009,2014,H10P,,자동화; 공정,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,20
1020070013803|1013053460000|반도체 패키지 절단 및 핸들링 장치|한미반도체 주식회사,반도체 패키지 절단 및 핸들링 장치,한미반도체 주식회사,1020070013803,,1013053460000,등록,2007,2013,2013,H10P,,공정; 반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,31
1020150048589|1016405330000|반도체칩 픽업 시스템|한미반도체 주식회사,반도체칩 픽업 시스템,한미반도체 주식회사,1020150048589,,1016405330000,등록,2015,2016,2016,H10P,,반도체; 웨이퍼,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,42
1020120048631|1013256340000|반도체 패키지용 회로기판의 검사방법|한미반도체 주식회사,반도체 패키지용 회로기판의 검사방법,한미반도체 주식회사,1020120048631,,1013256340000,등록,2012,2013,2013,H10P,,기판; 반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,69
1020060128282|1008148900000|가공장치 및 반도체스트립 가공시스템|한미반도체 주식회사,가공장치 및 반도체스트립 가공시스템,한미반도체 주식회사,1020060128282,,1008148900000,등록,2006,2008,2008,H10P,,생산성; 반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,110
1020120148387|1013723800000|반도체 자재 절단장치|한미반도체 주식회사,반도체 자재 절단장치,한미반도체 주식회사,1020120148387,,1013723800000,등록,2012,2014,2014,H10P,,공정; 반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,113
1020060026689|1007961890000|반도체 제조장비의 테입 어태치 장치|한미반도체 주식회사,반도체 제조장비의 테입 어태치 장치,한미반도체 주식회사,1020060026689,,1007961890000,등록,2006,2008,2008,H10P,,공정; 반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,118
1020100019377|1012286230000|적층형 반도체 패키지의 제조방법|한미반도체 주식회사,적층형 반도체 패키지의 제조방법,한미반도체 주식회사,1020100019377,,1012286230000,등록,2010,2013,2013,H10B; H10W; H10P,,반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,125
