application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020080138103,1020100079575,,취하,취하,바이폴라 트랜지스터 및 그 제조 방법,주식회사 디비하이텍
1020080104006,1020100044996,,거절,거절,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020070140007,1020090072036,,거절,거절,이미지 센서 및 그 제조 방법,주식회사 디비하이텍
1020110093567,1020130030055,1012802610000,소멸,소멸,이미지센서 및 이미지센서 제조 방법,주식회사 디비하이텍
1020110013645,1020120094262,1012391020000,소멸,소멸,ESD보호 회로,주식회사 디비하이텍
1020080110232,1020100051197,,거절,거절,이미지 센서 및 그 제조방법,주식회사 디비하이텍
1020080126588,1020100067966,,취하,취하,반도체 소자 및 그 제조 방법,주식회사 디비하이텍
1020080099067,1020100040034,1010247350000,소멸,소멸,이미지센서의 제조방법,주식회사 디비하이텍
1020080138293,1020100079738,,취하,취하,이미지 센서 및 그의 제조 방법,주식회사 디비하이텍
1020080022816,1020090097576,1009676510000,소멸,소멸,씨모스 이미지 센서 소자 및 그 형성 방법,주식회사 디비하이텍
1020080122536,1020100064106,,취하,취하,엘디모스 및 그 제조 방법,주식회사 디비하이텍
1020080099046,1020100040017,,거절,거절,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020070117238,1020090050666,1009079970000,소멸,소멸,모스 트랜지스터의 제조 방법 및 구조,주식회사 디비하이텍
1020070112665,1020090046482,1009285060000,소멸,소멸,이미지 센서 및 그 제조 방법,주식회사 디비하이텍
1020070135998,1020090068410,,거절,거절,이미지 센서 및 그 제조방법,주식회사 디비하이텍
1020080057266,1020090131414,1010356110000,소멸,소멸,모스 트랜지스터 및 그 제조 방법,주식회사 디비하이텍
1020160042123,1020170114703,,취하,취하,게이트 전극 구조물 및 이를 포함하는 고전압 반도체 소자,주식회사 디비하이텍
1020080074162,1020100012651,1010021310000,소멸,소멸,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020070047887,,1008662520000,소멸,소멸,이미지 센서의 제조방법,주식회사 디비하이텍
1020080024225,1020090099149,1009558400000,소멸,소멸,반도체 소자의 게이트 전극 형성 방법,주식회사 디비하이텍
1020070055768,1020080107686,1008943900000,소멸,소멸,이미지 센서 및 그 제조방법,주식회사 디비하이텍
1020080078937,1020100020238,,거절,거절,이미지 센서 및 이의 제조방법,주식회사 디비하이텍
1020080124651,1020100066021,,취하,취하,금속-절연체-금속 커패시터를 가진 반도체 소자에서의 금속라인 재형성 방법,주식회사 디비하이텍
1020070087001,1020090022015,1008984740000,소멸,소멸,반도체 소자,주식회사 디비하이텍
1020110144497,1020130076076,,거절,거절,드레인 확장형 모스 트랜지스터,주식회사 디비하이텍
1020080087378,1020100028371,,거절,거절,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020080096082,1020100036723,1010247700000,소멸,소멸,이미지센서 및 그 제조방법,주식회사 디비하이텍
