universe_rank,company_dir,company_name,ticker6,market,peer_group,semiconductor_tag,is_focal_5,market_data_available,data_quality_status,data_quality_status_kr,manual_review_priority,manual_review_priority_kr,valuation_proxy_score,valuation_proxy_label,valuation_proxy_label_kr,valuation_pred_label,valuation_confidence,valuation_confidence_bucket,valuation_confidence_bucket_kr,credit_risk_score,credit_proxy_label,credit_proxy_label_kr,credit_pred_label,credit_confidence,credit_confidence_bucket,credit_confidence_bucket_kr,credit_anomaly_score,credit_anomaly_flag_top15pct,auditor_requires_human_review,source_type,source_note,focus_reason,is_target
129,soulbrain,솔브레인,357780,KOSDAQ GLOBAL,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.4330769230769231,FAIR,FAIR,FAIR,0.6367158518654258,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.9460528189989016,HIGH,HIGH,0.0320761550307272,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
125,duksan,덕산테코피아,317330,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.251025641025641,EXPENSIVE,EXPENSIVE,EXPENSIVE,0.9683283970250778,HIGH,HIGH,0.7142857142857143,HIGH_RISK,고위험,HIGH_RISK,0.9663044353705786,HIGH,HIGH,0.3843555232614074,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
74,gst,GST,083450,KOSDAQ,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.6474666666666666,ATTRACTIVE,가치 매력,ATTRACTIVE,0.900491542853433,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9914514013000448,HIGH,HIGH,0.030956097033645616,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
116,tes,테스,095610,KOSDAQ,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.5640000000000001,FAIR,FAIR,FAIR,0.5083695341145091,MEDIUM,MEDIUM,0.1428571428571428,LOW_RISK,저위험,LOW_RISK,0.8915902677510841,HIGH,HIGH,0.04910195891941634,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
120,psk,피에스케이,319660,KOSDAQ GLOBAL,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.5357333333333333,FAIR,FAIR,FAIR,0.7072072873445469,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9811059783961981,HIGH,HIGH,0.06486271422414225,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
103,wonik_ips,원익IPS,240810,KOSDAQ GLOBAL,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.4634666666666667,FAIR,FAIR,FAIR,0.5727476694226805,MEDIUM,MEDIUM,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.9598478437041975,HIGH,HIGH,0.08568837626660758,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
97,sti,에스티아이,039440,KOSDAQ,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.4549999999999999,FAIR,FAIR,FAIR,0.53270990340385,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.911990788525375,HIGH,HIGH,0.012946139293246964,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
106,eugene_tech,유진테크,084370,KOSDAQ,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.4335999999999999,FAIR,FAIR,FAIR,0.7415227894291446,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.972105078189685,HIGH,HIGH,0.06698695126425369,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
79,nextin,넥스틴,348210,KOSDAQ GLOBAL,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.2353333333333333,EXPENSIVE,EXPENSIVE,EXPENSIVE,0.7906546201121369,HIGH,HIGH,0.4285714285714285,HIGH_RISK,고위험,HIGH_RISK,0.8216799677089676,HIGH,HIGH,0.0826003513380603,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
41,lxsemicon,LX세미콘,108320,KOSPI,팹리스/설계,팹리스/설계,True,True,OK,데이터 사용 가능,LOW,LOW,0.6953535353535354,ATTRACTIVE,가치 매력,ATTRACTIVE,0.951012131492064,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9675260077633142,HIGH,HIGH,0.0526549169074082,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
